source,record_id,portfolio,ticker,asset_class,break_type,internal_value,custodian_value,estimated_dollar_impact,risk_level,priority,exception_owner,days_open,root_cause_category,recommended_action,status
Trade Reconciliation,T0007,Short Duration Bond Fund,JPM,Equity,quantity_mismatch,200.0,175.0,41094.0,High,High,Trade Operations Team,2,Allocation Issue,Compare internal allocation records against custodian position or trade details.,Open
Trade Reconciliation,T0012,Core Income Fund,MSFT,Equity,price_mismatch,417.69,418.04,83538.0,High,Critical,Trade Operations Team,4,Pricing Issue,"Review execution price, broker confirmation, and custodian booking details.",Open
Trade Reconciliation,T0018,Short Duration Bond Fund,MSFT,Equity,settlement_date_mismatch,2026-06-15,2026-06-16,63445.50000000001,Medium,Medium,Trade Operations Team,3,Settlement Issue,Confirm contractual settlement date and update the incorrect record.,Open
Trade Reconciliation,T0024,Balanced Allocation Fund,MSFT,Equity,currency_mismatch,USD,EUR,10521.0,Medium,Medium,Trade Operations Team,3,Currency / FX Issue,Confirm currency and FX treatment.,Open
Trade Reconciliation,T0030,Balanced Allocation Fund,XLF,ETF,side_mismatch,BUY,SELL,6558.0,Medium,Medium,Trade Operations Team,3,Allocation Issue,Review buy/sell direction against order management records.,Open
Trade Reconciliation,T0035,Short Duration Bond Fund,TLT,Bond ETF,missing_from_custodian,Present,Missing,45335.0,High,High,Trade Operations Team,2,Booking Issue,Confirm record with custodian and investigate whether the position or trade failed to book externally.,Open
Trade Reconciliation,T0041,International Equity Fund,EWJ,ETF,missing_from_custodian,Present,Missing,10395.0,High,High,Trade Operations Team,2,Booking Issue,Confirm record with custodian and investigate whether the position or trade failed to book externally.,Open
Trade Reconciliation,T0048,US Growth Fund,SPY,ETF,missing_from_custodian,Present,Missing,53216.99999999999,High,Critical,Trade Operations Team,4,Booking Issue,Confirm record with custodian and investigate whether the position or trade failed to book externally.,Open
Trade Reconciliation,T0051,US Growth Fund,AMZN,Equity,missing_from_internal,Missing,Present,13912.5,High,High,Trade Operations Team,2,Booking Issue,Review custodian activity and confirm whether the record should be booked internally.,Open
Position Reconciliation,Balanced Allocation Fund-XLF,Balanced Allocation Fund,XLF,ETF,market_price_mismatch,43.75,44.25,8750.0,Medium,Medium,Portfolio Accounting Team,3,Pricing Issue,"Review pricing source, valuation date, and custodian market price feed.",Open
Position Reconciliation,Core Income Fund-ASML,Core Income Fund,ASML,Equity,currency_mismatch,EUR,USD,210420.0,Medium,Medium,Portfolio Accounting Team,3,Currency / FX Issue,Confirm currency and FX treatment.,Open
Position Reconciliation,International Equity Fund-MSFT,International Equity Fund,MSFT,Equity,missing_from_custodian,Present,Missing,73517.5,High,Critical,Portfolio Accounting Team,4,Booking Issue,Confirm record with custodian and investigate whether the position or trade failed to book externally.,Open
Position Reconciliation,Short Duration Bond Fund-TLT,Short Duration Bond Fund,TLT,Bond ETF,missing_from_custodian,Present,Missing,25107.5,High,High,Portfolio Accounting Team,2,Booking Issue,Confirm record with custodian and investigate whether the position or trade failed to book externally.,Open
Position Reconciliation,US Growth Fund-AMZN,US Growth Fund,AMZN,Equity,missing_from_internal,Missing,Present,18550.0,High,High,Portfolio Accounting Team,2,Booking Issue,Review custodian activity and confirm whether the record should be booked internally.,Open
Position Reconciliation,US Growth Fund-NVDA,US Growth Fund,NVDA,Equity,quantity_mismatch,250.0,225.0,30687.5,High,High,Portfolio Accounting Team,2,Allocation Issue,Compare internal allocation records against custodian position or trade details.,Open
Cash Reconciliation,Growth Fund-USD,Growth Fund,Cash,Cash,cash_balance_mismatch,125000.0,119435.0,5565.0,High,High,Cash Operations Team,2,Cash Movement Issue,"Investigate unsettled trades, custodian cash movements, fees, and income activity causing the cash difference.",Open
Cash Reconciliation,Income Fund-USD,Income Fund,Cash,Cash,cash_balance_mismatch,152500.0,123220.0,29280.0,High,High,Cash Operations Team,2,Cash Movement Issue,"Investigate unsettled trades, custodian cash movements, fees, and income activity causing the cash difference.",Open
